"site","parameter","datetime","date","year","month","day","hour","aqi","aqi_categ","unit","duration","qc_name"
"Hanoi","PM2.5 - Principal",2015-12-16 19:00:00,2015-12-16,2015,12,16,19,41.7,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 20:00:00,2015-12-16,2015,12,16,20,35,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 21:00:00,2015-12-16,2015,12,16,21,35.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 22:00:00,2015-12-16,2015,12,16,22,31.1,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 23:00:00,2015-12-16,2015,12,16,23,35,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-17 00:00:00,2015-12-17,2015,12,17,0,36,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-17 01:00:00,2015-12-17,2015,12,17,1,38.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-17 02:00:00,2015-12-17,2015,12,17,2,34,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-17 03:00:00,2015-12-17,2015,12,17,3,34.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-17 04:00:00,2015-12-17,2015,12,17,4,29.1,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-17 05:00:00,2015-12-17,2015,12,17,5,32.9,"Good","UG/M3","1 Hr","Valid"
